project,availability_type,exogenous_availability_scenario_id,endogenous_availability_scenario_id
Bhusawal3,exogenous,1,
Bhusawal4,exogenous,1,
Bhusawal5,exogenous,1,
Bhusawal6,exogenous,1,
Chandrapur3,exogenous,1,
Chandrapur4,exogenous,1,
Chandrapur5,exogenous,1,
Chandrapur6,exogenous,1,
Chandrapur7,exogenous,1,
Chandrapur8,exogenous,1,
Chandrapur9,exogenous,1,
Khaperkheda1,exogenous,1,
Khaperkheda2,exogenous,1,
Khaperkheda3,exogenous,1,
Khaperkheda4,exogenous,1,
Khaperkheda5,exogenous,1,
Koradi10,exogenous,1,
Koradi6,exogenous,1,
Koradi7,exogenous,1,
Koradi8,exogenous,1,
Koradi9,exogenous,1,
Nasik3,exogenous,1,
Nasik4,exogenous,1,
Nasik5,exogenous,1,
Nasik6,exogenous,1,
Paras3,exogenous,1,
Paras4,exogenous,1,
Parli4,exogenous,1,
Parli5,exogenous,1,
Parli6,exogenous,1,
Parli7,exogenous,1,
Parli8,exogenous,1,
Uran_CCGT_APMG,exogenous,1,
Uran_CCGT_RLNG,exogenous,1,
Bhira,exogenous,,
Koyna_KDPH,exogenous,,
Koyna_Stage_1,exogenous,1,
Koyna_Stage_2,exogenous,1,
Koyna_Stage_3,exogenous,1,
Koyna_Stage_4,exogenous,1,
Tillari,exogenous,,
Bagasse,exogenous,,
SHP,exogenous,,
Gadarwara,exogenous,1,
Khargone,exogenous,1,
KhSTPSII,exogenous,1,
KSTPS,exogenous,1,
KSTPSIII,exogenous,1,
Lara,exogenous,1,
MaudaI,exogenous,1,
MaudaII,exogenous,1,
SIPAT1,exogenous,1,
SIPAT2,exogenous,1,
SolapurI,exogenous,1,
SolapurII,exogenous,1,
VSTPI,exogenous,1,
VSTPII,exogenous,1,
VSTPIII,exogenous,1,
VSTPIV,exogenous,1,
VSTPV,exogenous,1,
Gandhar,exogenous,1,
Kawas,exogenous,1,
Dodson_I,exogenous,1,
Dodson_II,exogenous,1,
Pench,exogenous,1,
Sardar_Sarovar_CHPH,exogenous,1,
KAPP,exogenous,1,
TAPP_1_2,exogenous,1,
TAPP_3_4,exogenous,1,
Adani_Stage_1_1,exogenous,1,
Adani_Stage_1_2,exogenous,1,
Adani_Stage_2_1,exogenous,1,
Adani_Stage_2_2,exogenous,1,
Adani_Stage_2_445_MW,exogenous,1,
Emco,exogenous,1,
IndiaBulls_1,exogenous,1,
IndiaBulls_2,exogenous,1,
IndiaBulls_3,exogenous,1,
IndiaBulls_4,exogenous,1,
IndiaBulls_Balance,exogenous,1,
JSW,exogenous,1,
Tata_Mundra,exogenous,1,
FlexibleGas,exogenous,,
Ghatghar,exogenous,1,
Sardar_Sarovar_RBPH_PSP,exogenous,1,
Solar_Existing,exogenous,,
Solar_Fixed_Tilt,exogenous,,
Wind_Existing,exogenous,,
Wind_New,exogenous,,
660MW_1,exogenous,1,
660MW_2,exogenous,1,
660MW_3,exogenous,1,
660MW_4,exogenous,1,
