project,availability_type,exogenous_availability_scenario_id,endogenous_availability_scenario_id
Bhusawal4,exogenous,4,
Bhusawal5,exogenous,4,
Bhusawal6,exogenous,4,
Chandrapur7,exogenous,4,
Chandrapur8,exogenous,4,
Chandrapur9,exogenous,4,
Khaperkheda5,exogenous,4,
Koradi10,exogenous,4,
Koradi8,exogenous,4,
Koradi9,exogenous,4,
Nasik6,exogenous,4,
Paras3,exogenous,4,
Paras4,exogenous,4,
Parli6,exogenous,4,
Parli7,exogenous,4,
Parli8,exogenous,4,
Uran_CCGT_APMG,exogenous,1,
Uran_CCGT_RLNG,exogenous,4,
Bhira,exogenous,,
Koyna_KDPH,exogenous,,
Koyna_Stage_1,exogenous,1,
Koyna_Stage_2,exogenous,1,
Koyna_Stage_3,exogenous,1,
Koyna_Stage_4,exogenous,1,
Tillari,exogenous,,
Bagasse,exogenous,,
SHP,exogenous,,
Gadarwara,exogenous,4,
Khargone,exogenous,4,
KhSTPSII,exogenous,4,
KSTPSIII,exogenous,4,
Lara,exogenous,4,
MaudaI,exogenous,4,
MaudaII,exogenous,4,
SIPAT1,exogenous,4,
SIPAT2,exogenous,4,
SolapurI,exogenous,4,
SolapurII,exogenous,4,
VSTPII,exogenous,4,
VSTPIII,exogenous,4,
VSTPIV,exogenous,4,
VSTPV,exogenous,4,
Gandhar,exogenous,4,
Kawas,exogenous,4,
Dodson_I,exogenous,1,
Dodson_II,exogenous,1,
Pench,exogenous,1,
Sardar_Sarovar_CHPH,exogenous,1,
KAPP,exogenous,4,
TAPP_1_2,exogenous,4,
TAPP_3_4,exogenous,4,
Adani_Stage_1_1,exogenous,4,
Adani_Stage_1_2,exogenous,4,
Adani_Stage_2_1,exogenous,4,
Adani_Stage_2_2,exogenous,4,
Adani_Stage_2_445_MW,exogenous,4,
Emco,exogenous,4,
IndiaBulls_1,exogenous,4,
IndiaBulls_2,exogenous,4,
IndiaBulls_3,exogenous,4,
IndiaBulls_4,exogenous,4,
IndiaBulls_Balance,exogenous,4,
JSW,exogenous,4,
Tata_Mundra,exogenous,4,
Market_NonPeak,exogenous,1,
Market_Peak,exogenous,1,
Ghatghar,exogenous,4,
Sardar_Sarovar_RBPH_PSP,exogenous,4,
Solar_Existing,exogenous,,
Solar_Fixed_Tilt,exogenous,,
Solar_Single_Axis,exogenous,,
Wind_Existing,exogenous,,
Wind_New,exogenous,,
BESS_4_hr_Exo,exogenous,,
BESS_6_hr_Exo,exogenous,,
