stage_id,timepoint,cap_factor
1,203001,0.338478555
1,203002,0.341095776
1,203003,0
1,203004,0
1,203005,0
1,203006,0
1,203007,0.342092512
1,203008,0.34077935
1,203009,0.340296401
1,203010,0.340754339
1,203011,0.339245998
1,203012,0.341228536
1,2030001,0.340570865
1,2030002,0.342858842
1,2030003,0.339729746
1,2030004,0.342682521
1,2030005,0.331007012
1,2030006,0.337599693
1,2030007,0.33349029
1,2030008,0.328225767
1,2030009,0.34445821
1,2030010,0.341943898
1,2030011,0.331463316
1,2030012,0.34693248
1,2030013,0.340862846
1,2030014,0.349547823
1,2030015,0.338326026
1,2030016,0.328919783
1,2030017,0.335730553
1,2030018,0.341956374
1,2030019,0.337836108
1,2030020,0.338102903
1,2030021,0.338935734
1,2030022,0.333613496
1,2030023,0.347548213
1,2030024,0.337954601
1,2030025,0.340803541
1,2030026,0.33212982
1,2030027,0.335266309
1,2030028,0.345053696
1,2030029,0.339368651
1,2030030,0.331437525
1,2030031,0.341630442
1,2030032,0.339265184
1,2030033,0.345339886
1,2030034,0.33544476
1,2030035,0.343901541
1,2030036,0.345944503
1,2030037,0.339841036
1,2030038,0.339215612
1,2030039,0.338692686
1,2030040,0.344303015
1,2030041,0.327792261
1,2030042,0.330214145
1,2030043,0.335792716
1,2030044,0.340663122
1,2030045,0.347828091
1,2030046,0.341618383
1,2030047,0.341869747
1,2030048,0.347293177
1,2030049,0.34371106
1,2030050,0.338092496
1,2030051,0.347637984
1,2030052,0.343420544
1,2030053,0.330528349
1,2030054,0.335025654
1,2030055,0.345561626
1,2030056,0.342345776
1,2030057,0.352026563
1,2030058,0.344528555
1,2030059,0.336744915
1,2030060,0.345865094
1,2030061,0.341830148
1,2030062,0
1,2030063,0
1,2030064,0
1,2030065,0
1,2030066,0
1,2030067,0
1,2030068,0
1,2030069,0
1,2030070,0
1,2030071,0
1,2030072,0
1,2030073,0
1,2030074,0
1,2030075,0
1,2030076,0
1,2030077,0
1,2030078,0
1,2030079,0
1,2030080,0
1,2030081,0
1,2030082,0
1,2030083,0
1,2030084,0
1,2030085,0
1,2030086,0
1,2030087,0
1,2030088,0
1,2030089,0
1,2030090,0
1,2030091,0
1,2030092,0
1,2030093,0
1,2030094,0
1,2030095,0
1,2030096,0
1,2030097,0
1,2030098,0
1,2030099,0
1,2030100,0
1,2030101,0
1,2030102,0
1,2030103,0
