stage_id,timepoint,cap_factor
1,203001,0.174109122
1,203002,0.160251874
1,203003,0.133323066
1,203004,0.119671715
1,203005,0.111396929
1,203006,0.122649383
1,203007,0.164431345
1,203008,0.180034097
1,203009,0.16664069
1,203010,0.178465044
1,203011,0.179740773
1,203012,0.172242725
1,2030001,0.130463144
1,2030002,0.148075669
1,2030003,0.152859317
1,2030004,0.163187649
1,2030005,0.169058491
1,2030006,0.169058491
1,2030007,0.169928245
1,2030008,0.169493368
1,2030009,0.158621439
1,2030010,0.161991737
1,2030011,0.163839965
1,2030012,0.190911068
1,2030013,0.157969124
1,2030014,0.183691173
1,2030015,0.182932119
1,2030016,0.1846671
1,2030017,0.183257428
1,2030018,0.182715246
1,2030019,0.189004554
1,2030020,0.188896118
1,2030021,0.184016482
1,2030022,0.190847972
1,2030023,0.174474084
1,2030024,0.195836044
1,2030025,0.188353936
1,2030026,0.177510301
1,2030027,0.172522229
1,2030028,0.179245283
1,2030029,0.179895901
1,2030030,0.179949972
1,2030031,0.178656144
1,2030032,0.172187001
1,2030033,0.172941735
1,2030034,0.167658602
1,2030035,0.171647906
1,2030036,0.170246259
1,2030037,0.177685772
1,2030038,0.176499763
1,2030039,0.161214679
1,2030040,0.163950444
1,2030041,0.157355298
1,2030042,0.150760152
1,2030043,0.151053269
1,2030044,0.145874858
1,2030045,0.153202798
1,2030046,0.161605503
1,2030047,0.152030328
1,2030048,0.167663267
1,2030049,0.168738031
1,2030050,0.159846797
1,2030051,0.156329386
1,2030052,0.156427092
1,2030053,0.157404151
1,2030054,0.154033298
1,2030055,0.154033298
1,2030056,0.150662446
1,2030057,0.156817915
1,2030058,0.160921562
1,2030059,0.160042209
1,2030060,0.142162035
1,2030061,0.138156095
1,2030062,0.137472154
1,2030063,0.139523977
1,2030064,0.135713448
1,2030065,0.149587681
1,2030066,0.144604682
1,2030067,0.131707508
1,2030068,0.13307539
1,2030069,0.14440927
1,2030070,0.111873217
1,2030071,0.138840036
1,2030072,0.120373627
1,2030073,0.13024192
1,2030074,0.09926916
1,2030075,0.110505335
1,2030076,0.12125298
1,2030077,0.124379568
1,2030078,0.158134676
1,2030079,0.15896906
1,2030080,0.158819301
