stage_id,timepoint,cap_factor
1,203001,0.230487079
1,203002,0.216340092
1,203003,0.177275514
1,203004,0.162829198
1,203005,0.166413394
1,203006,0.207544716
1,203007,0.232491189
1,203008,0.236362451
1,203009,0.236895205
1,203010,0.244277022
1,203011,0.255415244
1,203012,0.24860974
1,2030001,0.245583635
1,2030002,0.250411506
1,2030003,0.245866246
1,2030004,0.242440669
1,2030005,0.234756451
1,2030006,0.235054777
1,2030007,0.223932119
1,2030008,0.217882186
1,2030009,0.235536954
1,2030010,0.236319098
1,2030011,0.239628258
1,2030012,0.234603291
1,2030013,0.237410224
1,2030014,0.240506779
1,2030015,0.232622512
1,2030016,0.229680288
1,2030017,0.220909791
1,2030018,0.218976201
1,2030019,0.201860346
1,2030020,0.191465983
1,2030021,0.233784423
1,2030022,0.23659723
1,2030023,0.233686307
1,2030024,0.239258612
1,2030025,0.236028359
1,2030026,0.224101831
1,2030027,0.208643575
1,2030028,0.22948183
1,2030029,0.226223539
1,2030030,0.231359338
1,2030031,0.217953302
1,2030032,0.219162079
1,2030033,0.201389621
1,2030034,0.220129428
1,2030035,0.214438669
1,2030036,0.222934886
1,2030037,0.217527318
1,2030038,0.219406619
1,2030039,0.2228028
1,2030040,0.229769016
1,2030041,0.231168642
1,2030042,0.230083357
1,2030043,0.229616079
1,2030044,0.229469067
1,2030045,0.22850435
1,2030046,0.217907241
1,2030047,0.221722195
1,2030048,0.217814968
1,2030049,0.216231828
1,2030050,0.200845933
1,2030051,0.215428349
1,2030052,0.215141637
1,2030053,0.216355874
1,2030054,0.221181082
1,2030055,0.219134401
1,2030056,0.192225098
1,2030057,0.193160424
1,2030058,0.211754051
1,2030059,0.213716212
1,2030060,0.19776333
1,2030061,0.201804983
1,2030062,0.172477971
1,2030063,0.186076937
1,2030064,0.195150254
1,2030065,0.204641724
1,2030066,0.219354746
1,2030067,0.216821989
1,2030068,0.208727785
1,2030069,0.213952526
1,2030070,0.204464008
1,2030071,0.202234333
1,2030072,0.204969823
1,2030073,0.20080992
1,2030074,0.174368827
1,2030075,0.179533412
1,2030076,0.19692053
1,2030077,0.178884413
1,2030078,0.186631044
1,2030079,0.177915939
