project,period,annual_fixed_cost_per_mw_year,annual_fixed_cost_per_mwh_year
Bhusawal4,2030,10262491.96,
Bhusawal5,2030,9951125.589,
Bhusawal6,2030,18585254.05,
Chandrapur7,2030,7870553.616,
Chandrapur8,2030,11045713.97,
Chandrapur9,2030,11045713.97,
Khaperkheda5,2030,10555881.1,
Koradi10,2030,9704243.428,
Koradi8,2030,17236928.71,
Koradi9,2030,17236928.71,
Nasik6,2030,18585254.05,
Paras3,2030,12036097.72,
Paras4,2030,11290540.92,
Parli6,2030,7886219.853,
Parli7,2030,7456300.239,
Parli8,2030,9168619.867,
Uran_CCGT_APMG,2030,4121103.406,
Uran_CCGT_RLNG,2030,4121103.406,
Bhira,2030,519617.3859,
Koyna_KDPH,2030,588030.9603,
Koyna_Stage_1,2030,588030.9603,
Koyna_Stage_2,2030,588030.9603,
Koyna_Stage_3,2030,588030.9603,
Koyna_Stage_4,2030,588030.9603,
Tillari,2030,703682.4788,
Bagasse,2030,0,
SHP,2030,1373158.17,
Gadarwara,2030,7922152.044,
Khargone,2030,12982780.49,
KhSTPSII,2030,8747579.523,
KSTPSIII,2030,10119520.47,
Lara,2030,6754032.278,
MaudaI,2030,13101454.99,
MaudaII,2030,5878848.323,
SIPAT1,2030,9648999.583,
SIPAT2,2030,8880585.711,
SolapurI,2030,13997431.72,
SolapurII,2030,15441619.7,
VSTPII,2030,8989224.146,
VSTPIII,2030,12427377.19,
VSTPIV,2030,12345723.06,
VSTPV,2030,10636143.8,
Gandhar,2030,6850400.134,
Kawas,2030,8102463.263,
Dodson_I,2030,0,
Dodson_II,2030,2396103.996,
Pench,2030,921954.3588,
Sardar_Sarovar_CHPH,2030,0,
KAPP,2030,0,
TAPP_1_2,2030,0,
TAPP_3_4,2030,0,
Adani_Stage_1_1,2030,8339800,
Adani_Stage_1_2,2030,8339800,
Adani_Stage_2_1,2030,10424800,
Adani_Stage_2_2,2030,10424800,
Adani_Stage_2_445_MW,2030,10424800,
Emco,2030,16382726.4,
IndiaBulls_1,2030,7966800,
IndiaBulls_2,2030,7966800,
IndiaBulls_3,2030,7966800,
IndiaBulls_4,2030,7966800,
IndiaBulls_Balance,2030,7966800,
JSW,2030,8820696.619,
Tata_Mundra,2030,8047893.471,
Market_NonPeak,2030,0,
Market_Peak,2030,0,
Ghatghar,2030,5922660.863,0
Sardar_Sarovar_RBPH_PSP,2030,0,0
Solar_Existing,2030,9604281.948,
Solar_Fixed_Tilt,2030,5747130.394,
Solar_Single_Axis,2030,7994066.235,
Wind_Existing,2030,7997708.576,
Wind_New,2030,9144270.789,
BESS_4_hr_Exo,2030,12054000,0
BESS_6_hr_Exo,2030,14748000,0
