subproblem_id,balancing_type_horizon,horizon,boundary
1,day,2030001,linear
2,day,2030002,linked
3,day,2030003,linked
4,day,2030004,linked
5,day,2030005,linked
6,day,2030006,linked
7,day,2030007,linked
8,day,2030008,linked
9,day,2030009,linked
10,day,2030010,linked
11,day,2030011,linked
12,day,2030012,linked
13,day,2030013,linked
14,day,2030014,linked
15,day,2030015,linked
16,day,2030016,linked
17,day,2030017,linked
18,day,2030018,linked
19,day,2030019,linked
20,day,2030020,linked
21,day,2030021,linked
22,day,2030022,linked
23,day,2030023,linked
24,day,2030024,linked
25,day,2030025,linked
26,day,2030026,linked
27,day,2030027,linked
28,day,2030028,linked
29,day,2030029,linked
30,day,2030030,linked
31,day,2030031,linked
32,day,2030032,linked
33,day,2030033,linked
34,day,2030034,linked
35,day,2030035,linked
36,day,2030036,linked
37,day,2030037,linked
38,day,2030038,linked
39,day,2030039,linked
40,day,2030040,linked
41,day,2030041,linked
42,day,2030042,linked
43,day,2030043,linked
44,day,2030044,linked
45,day,2030045,linked
46,day,2030046,linked
47,day,2030047,linked
48,day,2030048,linked
49,day,2030049,linked
50,day,2030050,linked
51,day,2030051,linked
52,day,2030052,linked
53,day,2030053,linked
54,day,2030054,linked
55,day,2030055,linked
56,day,2030056,linked
57,day,2030057,linked
58,day,2030058,linked
59,day,2030059,linked
60,day,2030060,linked
61,day,2030061,linked
62,day,2030062,linked
63,day,2030063,linked
64,day,2030064,linked
65,day,2030065,linked
66,day,2030066,linked
67,day,2030067,linked
68,day,2030068,linked
69,day,2030069,linked
70,day,2030070,linked
71,day,2030071,linked
72,day,2030072,linked
73,day,2030073,linked
74,day,2030074,linked
75,day,2030075,linked
76,day,2030076,linked
77,day,2030077,linked
78,day,2030078,linked
79,day,2030079,linked
80,day,2030080,linked
81,day,2030081,linked
82,day,2030082,linked
83,day,2030083,linked
84,day,2030084,linked
85,day,2030085,linked
86,day,2030086,linked
87,day,2030087,linked
88,day,2030088,linked
89,day,2030089,linked
90,day,2030090,linked
91,day,2030091,linked
92,day,2030092,linked
93,day,2030093,linked
94,day,2030094,linked
95,day,2030095,linked
96,day,2030096,linked
97,day,2030097,linked
98,day,2030098,linked
99,day,2030099,linked
100,day,2030100,linked
101,day,2030101,linked
102,day,2030102,linked
103,day,2030103,linked
104,day,2030104,linked
105,day,2030105,linked
106,day,2030106,linked
107,day,2030107,linked
108,day,2030108,linked
109,day,2030109,linked
110,day,2030110,linked
111,day,2030111,linked
112,day,2030112,linked
113,day,2030113,linked
114,day,2030114,linked
115,day,2030115,linked
116,day,2030116,linked
117,day,2030117,linked
118,day,2030118,linked
119,day,2030119,linked
120,day,2030120,linked
121,day,2030121,linked
122,day,2030122,linked
123,day,2030123,linked
124,day,2030124,linked
125,day,2030125,linked
126,day,2030126,linked
127,day,2030127,linked
128,day,2030128,linked
129,day,2030129,linked
130,day,2030130,linked
131,day,2030131,linked
132,day,2030132,linked
133,day,2030133,linked
134,day,2030134,linked
135,day,2030135,linked
136,day,2030136,linked
137,day,2030137,linked
138,day,2030138,linked
139,day,2030139,linked
140,day,2030140,linked
141,day,2030141,linked
142,day,2030142,linked
143,day,2030143,linked
